Satellite	Status	NORAD	Uplink	Downlink	Beacon	Mode	Callsign	Reports	Info	IARU freq coord	Telemetry Decoder	tle_name	tle
AoXiang-1	ACTIVE	42735	.	.	436.150	9k6 BPSK	NPUAX1	latest report	details	YES	.	AOXIANG-1	"1 42735U 98067MQ  19177.55530794  .07215990  12478-4  53264-3 0  9996
2 42735  51.6164 219.6428 0005776 333.1578  33.8960 16.39815471120909"
SHAONIAN-XING (Juvenile 1F)	ACTIVE	43199	.	.	436.375	9k6 BPSK	MXSAT-1	latest report	details	YES	.	SHAONIAN XING	"1 43199U 18015H   19191.19740326  .00000901  00000-0  39110-4 0  9992
2 43199  97.3801 317.7530 0015879 226.0480 133.9449 15.24808901 79641"
TianYi 2 (TY-2)	ACTIVE	43155			435.350	9k6 FSK	.	latest report	details	YES		XIAOXIANG 2 (TY-2)	"1 43155U 18008A   19191.52363726  .00000751  00000-0  48481-4 0  9992
2 43155  97.4862 263.6057 0016176 247.7835 169.2969 15.11158713 81129"
KAIDUN-1	ACTIVE	41915			437.600	1k2 BPSK	AXNWPU-4	latest report	details	NO		KAIDUN 1	"1 41915U 17002C   19191.49022671 -.00000096  00000-0 -19673-5 0  9990
2 41915  97.4405 259.5006 0011179  35.2781  61.8801 15.11355118137751"
INS-1C	ACTIVE	43116			435.080	1k2 Manchester	INDUSR-10	latest report	details	NO		INS-1C	"1 43116U 18004F   19191.24773845  .00000938  00000-0  42710-4 0  9997
2 43116  97.4925 259.0869 0010136 160.9899 199.1718 15.23153416 82787"
CAS-2T	ACTIVE	41847	.		435.712	CW	.	latest report	details	NO		CZ-11 R/B	"1 41847U 16066G   19191.73646812  .00000000  00000-0  10316-4 0  9996
2 41847  98.7039 232.8172 0366241 169.1936 191.7399 14.37992715140163"
SUCHAI	ACTIVE	42788			437.225	CW  GMSK 2k4	SUCHAI	latest report	details	YES		SUCHAI	"1 42788U 17036Z   19190.72587291  .00000993  00000-0  45190-4 0  9991
2 42788  97.3505 248.4127 0012540 148.5367 211.6622 15.22931024113558"
ROBUSTA-1B	ACTIVE	42792			437.325	CW / 1k2 AFSK	.	latest report	details	YES		ROBUSTA 1B	"1 42792U 17036AD  19191.19721352  .00001118  00000-0  50429-4 0  9997
2 42792  97.3502 248.9658 0012000 147.4499 212.7480 15.22998718113567"
NIUSAT	ACTIVE	42766			436.000	1k2 FSK	NIUGSR	latest report	details	NO		NIUSAT	"1 42766U 17036B   19191.14719349  .00000700  00000-0  34405-4 0  9998
2 42766  97.3492 247.0687 0016823 140.6839 219.5622 15.21125408113490"
VZLUSAT-1	ACTIVE	42790			437.240	CW/4k8 MSK	ON02CZ	latest report	details	YES		VZLUSAT 1	"1 42790U 17036AB  19190.69595386 +.00001230 +00000-0 +54439-4 0  9995
2 42790 097.3517 248.7848 0012013 147.5910 212.6068 15.23482412113496"
AALTO-1	ACTIVE	42775			437.220	CW/9k6 FSK AX.25	OH2A1S	latest report	details	YES		AALTO 1	"1 42775U 17036L   19191.63090149  .00000647  00000-0  31849-4 0  9991
2 42775  97.3480 247.8699 0015161 138.4290 221.8102 15.21354309113547"
URSA MAIOR	ACTIVE	42776			435.950	9k6 FSK	ON02IT	latest report	details	YES	in progress	URSA MAIOR	"1 42776U 17036M   19191.39245423  .00000715  00000-0  34765-4 0  9998
2 42776  97.3489 247.7916 0014981 139.1392 221.0970 15.21487594113513"
NSIGHT-1	ACTIVE	42726			435.900	9k6 FSK	ON02AZ	latest report	details	YES		NSIGHT-1	"1 42726U 98067MF  19191.52007860  .00023021  00000-0  17640-3 0  9999
2 42726  51.6349 197.0041 0003518 271.2088  88.8507 15.72000691121256"
NJUST-1	ACTIVE	42722			436.570	1k2/9k6 BPSK	ON03CN	latest report	details	YES		NJUST-1	"1 42722U 98067MB  19191.38440105  .00502724  14533-3  44277-3 0  9999
2 42722  51.6202 151.5016 0001936  21.8015 115.1245 16.12409677121927"
FalconSAT-3	ACTIVE	30776	145.840	435.103	435.103	9k6 FSK	PFS3-11	latest report	details	YES		FALCONSAT 3	"1 30776U 07006E   19191.52433685  .00001958  00000-0  55570-4 0  9992
2 30776  35.4356 311.3335 0003395 302.0399  57.9998 15.36253831684042"
ZA-AEROSAT	ACTIVE	42713			437.200	9k6 FSK	ON01AZ	latest report	details	YES		ZA-AEROSAT	"1 42713U 98067LU  19151.03730059  .02928871  12128-4  58594-3 0  9990
2 42713  51.6172 356.2792 0012791 275.7272  84.2292 16.30383675116521"
AlSat-1N	ACTIVE	41789	.	.	437.650	9k6 FSK	.	latest report	details	YES		ALSAT 1N	"1 41789U 16059G   19191.52375150  .00000062  00000-0  20838-4 0  9992
2 41789  98.0684 252.6628 0027290 306.7419  53.1272 14.64248632148842"
LAPAN-A3	ACTIVE	41603	.	.	437.325	1k2 FFSK	.	latest report	details	NO		LAPAN A3	"1 41603U 16040E   19191.77784420 -.00000008  00000-0  27728-5 0  9995
2 41603  97.3581 249.9445 0012688 328.3234 170.7240 15.19721341169096"
NUSAT-2	ACTIVE	41558	.	.	437.445	40k0 GFSK	.	latest report	details	YES		NUSAT 2 (BATATA)	"1 41558U 16033C   19191.80391903  .00001010  00000-0  38345-4 0  9999
2 41558  97.4209 280.2931 0011877 214.2307 145.8168 15.29147001173514"
MINXSS-1	ACTIVE	41474	.	.	437.345	9k6 FSK	MINXSS	latest report	details	YES		MINXSS	"1 41474U 98067HU  17125.52237589 +.05724416 +12300-4 +86147-3 0  9995
2 41474 051.6449 208.6967 0008167 329.0747 030.9230 16.33400422055623"
AIST-2D	ACTIVE	41465	.	435.306	435.315	"4k8 PSK, CW"	RS-48	latest report	details	NO		AIST 2D	"1 41465U 16026B   19191.50789558  .00000900  00000-0  29784-4 0  9996
2 41465  97.1873  86.2802 0012553  48.9564  74.7403 15.33808266178840"
